report_date,new_positive,issue_date
2020-10-17,2862,2022-03-18
2020-10-16,2979,2022-03-18
2020-10-15,3075,2022-03-18
2020-10-14,3329,2022-03-18
2020-10-13,2666,2022-03-18
2020-10-12,2378,2022-03-18
2020-10-11,3449,2022-03-18
2020-10-10,3803,2022-03-18
2020-10-09,4170,2022-03-18
2020-10-08,3806,2022-03-18
2020-10-07,3575,2022-03-18
2020-10-06,2764,2022-03-18
2020-10-05,1677,2022-03-18
2020-10-04,3055,2022-03-18
2020-10-03,4293,2022-03-18
2020-10-02,2159,2022-03-18
2020-10-01,3590,2022-03-18
2020-09-30,3062,2022-03-18
2020-09-29,3200,2022-03-18
2020-09-28,2162,2022-03-18
2020-09-27,2955,2022-03-18
2020-09-26,4071,2022-03-18
2020-09-25,4197,2022-03-18
2020-09-24,3400,2022-03-18
2020-09-23,3170,2022-03-18
2020-09-22,3146,2022-03-18
2020-09-21,2630,2022-03-18
2020-09-20,3294,2022-03-18
2020-09-19,4265,2022-03-18
2020-09-18,4304,2022-03-18
2020-09-17,3630,2022-03-18
2020-09-16,3238,2022-03-18
2020-09-15,2950,2022-03-18
2020-09-14,2235,2022-03-18
2020-09-13,2855,2022-03-18
2020-09-12,4625,2022-03-18
2020-09-11,4107,2022-03-18
2020-09-10,3326,2022-03-18
2020-09-09,3338,2022-03-18
2020-09-08,1616,2022-03-18
2020-09-07,2676,2022-03-18
2020-09-06,3091,2022-03-18
2020-09-05,4905,2022-03-18
2020-09-04,4956,2022-03-18
2020-09-03,5106,2022-03-18
2020-09-02,5125,2022-03-18
2020-09-01,4255,2022-03-18
2020-08-31,3712,2022-03-18
2020-08-30,4176,2022-03-18
2020-08-29,6070,2022-03-18
2020-08-28,4981,2022-03-18
2020-08-27,5329,2022-03-18
2020-08-26,4430,2022-03-18
2020-08-25,6004,2022-03-18
2020-08-24,4480,2022-03-18
2020-08-23,4946,2022-03-18
2020-08-22,6777,2022-03-18
2020-08-21,6556,2022-03-18
